A22,British thermal unit (international table) per second foot degree Rankine ,
A23,British thermal unit (international table) per hour square foot degree Rankine ,
A24,candela per square metre ,
A25,cheval vapeur Synonym: metric horse power ,
A26,coulomb metre ,
A27,coulomb metre squared per volt ,
A28,coulomb per cubic centimetre ,
A29,coulomb per cubic metre ,
A3,ampere per millimetre ,
A30,coulomb per cubic millimetre ,
A31,coulomb per kilogram second ,
A32,coulomb per mole ,
A33,coulomb per square centimetre ,
A34,coulomb per square metre ,
A35,coulomb per square millimetre ,
A36,cubic centimetre per mole ,
A37,cubic decimetre per mole ,
A38,cubic metre per coulomb ,
A39,cubic metre per kilogram ,
A4,ampere per square centimetre ,
A40,cubic metre per mole ,
A41,ampere per square metre ,
A42,curie per kilogram ,
A43,deadweight tonnage ,A unit of mass defining the difference between the weight of a ship when completely empty and its we
A44,decalitre ,
A45,decametre ,
A47,decitex ,A unit of yarn density. One decitex equals a mass of 1 gram per 10 kilometres of length. 
A48,degree Rankine Refer ISO 80000-5 (Quantities and units  Part 5: Thermodynamics) ,
A49,denier ,A unit of yarn density. One denier equals a mass of 1 gram per 9 kilometres of length. 
A5,ampere square metre ,
A50,dyne second per cubic centimetre ,
A51,dyne second per centimetre ,
A52,dyne second per centimetre to the fifth power ,
A53,electronvolt ,
A54,electronvolt per metre ,
A55,electronvolt square metre ,
A56,electronvolt square metre per kilogram ,
A57,erg ,
A58,erg per centimetre ,
A59,8-part cloud cover ,A unit of count defining the number of eighth-parts as a measure of the celestial dome cloud coverag
A6,ampere per square metre kelvin squared ,
A60,erg per cubic centimetre ,
A61,erg per gram ,
A62,erg per gram second ,
A63,erg per second ,
A64,erg per second square centimetre ,
A65,erg per square centimetre second ,
A66,erg square centimetre ,
A67,erg square centimetre per gram ,
A68,exajoule ,
A69,farad per metre ,
A7,ampere per square millimetre ,
A70,femtojoule ,
A71,femtometre ,
A73,foot per second squared ,
A74,foot pound-force per second ,
A75,freight ton ,"A unit of information typically used for billing purposes, defined as either the number of metric to"
A76,gal ,
A77,Gaussian CGS (Centimetre-Gram-Second system) unit of displacement ,
A78,Gaussian CGS (Centimetre-Gram-Second system) unit of electric current ,
A79,Gaussian CGS (Centimetre-Gram-Second system) unit of electric charge ,
A8,ampere second ,
A80,Gaussian CGS (Centimetre-Gram-Second system) unit of electric field strength ,
A81,Gaussian CGS (Centimetre-Gram-Second system) unit of electric polarization ,
A82,Gaussian CGS (Centimetre-Gram-Second system) unit of electric potential ,
A83,Gaussian CGS (Centimetre-Gram-Second system) unit of magnetization ,
A84,gigacoulomb per cubic metre ,
A85,gigaelectronvolt ,
A86,gigahertz ,
A87,gigaohm ,
A88,gigaohm metre ,
A89,gigapascal ,
A9,rate ,A unit of quantity expressed as a rate for usage of a facility or service. 
A90,gigawatt ,
A91,gon Synonym: grade ,
A93,gram per cubic metre ,
A94,gram per mole ,
A95,gray ,
A96,gray per second ,
A97,hectopascal ,
A98,henry per metre ,
A99,bit ,A unit of information equal to one binary digit. 
AA,ball ,A unit of count defining the number of balls (ball: object formed in the shape of sphere). 
AB,bulk pack ,A unit of count defining the number of items per bulk pack. 
ACR,acre ,
ACT,activity ,A unit of count defining the number of activities (activity: a unit of work or action). 
AD,byte ,A unit of information equal to 8 bits. 
AE,ampere per metre ,
AH,additional minute ,A unit of time defining the number of minutes in addition to the referenced minutes. 
AI,average minute per call ,A unit of count defining the number of minutes for the average interval of a call. 
AJ,cop ,
AK,fathom ,
AL,access line ,A unit of count defining the number of telephone access lines. 
AM,ampoule ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
AMH,ampere hour ,A unit of electric charge defining the amount of charge accumulated by a steady flow of one ampere f
AMP,ampere ,
ANN,"year Unit of time equal to 365,25 days. Synonym: Julian year ",
AP,aluminium pound only ,
APZ,troy ounce or apothecary ounce ,
AQ,anti-hemophilic factor (AHF) unit ,A unit of measure for blood potency (US). 
AR,suppository ,
ARE,are Synonym: square decametre ,
AS,assortment ,A unit of count defining the number of assortments (assortment: set of items grouped in a mixed coll
ASM,alcoholic strength by mass ,A unit of mass defining the alcoholic strength of a liquid. 
ASU,alcoholic strength by volume ,"A unit of volume defining the alcoholic strength of a liquid (e.g. spirit, wine, beer, etc), often a"
ATM,standard atmosphere ,
ATT,technical atmosphere ,
AV,capsule ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
AW,powder filled vial ,
AY,assembly ,A unit of count defining the number of assemblies (assembly: items that consist of component parts).
AZ,British thermal unit (international table) per pound ,
B0,Btu per cubic foot ,
B1,barrel (US) per day ,
B10,bit per second ,A unit of information equal to one binary digit per second. 
B11,joule per kilogram kelvin ,
B12,joule per metre ,
B13,joule per square metre Synonym: joule per metre squared ,
B14,joule per metre to the fourth power ,
B15,joule per mole ,
B16,joule per mole kelvin ,
B17,credit ,A unit of count defining the number of entries made to the credit side of an account. 
B18,joule second ,
B19,digit ,A unit of information defining the quantity of numerals used to form a number. 
B2,bunk ,
B20,joule square metre per kilogram ,
B21,kelvin per watt ,
B22,kiloampere ,
B23,kiloampere per square metre ,
B24,kiloampere per metre ,
B25,kilobecquerel per kilogram ,
B26,kilocoulomb ,
B27,kilocoulomb per cubic metre ,
B28,kilocoulomb per square metre ,
B29,kiloelectronvolt ,
B3,batting pound ,A unit of mass defining the number of pounds of wadded fibre. 
B30,gibibit ,A unit of information equal to 2³? bits (binary digits). 
B31,kilogram metre per second ,
B32,kilogram metre squared ,
B33,kilogram metre squared per second ,
B34,kilogram per cubic decimetre ,
B35,kilogram per litre ,
B36,calorie (thermochemical) per gram ,
B37,kilogram-force ,
B38,kilogram-force metre ,
B39,kilogram-force metre per second ,
B4,"barrel, imperial ",A unit of volume used to measure beer. One beer barrel equals 36 imperial gallons. 
B40,kilogram-force per square metre ,
B41,kilojoule per kelvin ,
B42,kilojoule per kilogram ,
B43,kilojoule per kilogram kelvin ,
B44,kilojoule per mole ,
B45,kilomole ,
B46,kilomole per cubic metre ,
B47,kilonewton ,
B48,kilonewton metre ,
B49,kiloohm ,
B5,billet ,
B50,kiloohm metre ,
B51,kilopond Synonym: kilogram-force ,
B52,kilosecond ,
B53,kilosiemens ,
B54,kilosiemens per metre ,
B55,kilovolt per metre ,
B56,kiloweber per metre ,
B57,light year ,A unit of length defining the distance that light travels in a vacuum in one year. 
B58,litre per mole ,
B59,lumen hour ,
B6,bun ,
B60,lumen per square metre ,
B61,lumen per watt ,
B62,lumen second ,
B63,lux hour ,
B64,lux second ,
B65,maxwell ,
B66,megaampere per square metre ,
B67,megabecquerel per kilogram ,
B68,gigabit ,A unit of information equal to 10? bits (binary digits). 
B69,megacoulomb per cubic metre ,
B7,cycle ,A unit of count defining the number of cycles (cycle: a recurrent period of definite duration). 
B70,megacoulomb per square metre ,
B71,megaelectronvolt ,
B72,megagram per cubic metre ,
B73,meganewton ,
B74,meganewton metre ,
B75,megaohm ,
B76,megaohm metre ,
B77,megasiemens per metre ,
B78,megavolt ,
B79,megavolt per metre ,
B8,joule per cubic metre ,
B80,gigabit per second ,A unit of information equal to 10? bits (binary digits) per second. 
B81,reciprocal metre squared reciprocal second ,
B82,inch per linear foot ,A unit of length defining the number of inches per linear foot. 
B83,metre to the fourth power ,
B84,microampere ,
B85,microbar ,
B86,microcoulomb ,
B87,microcoulomb per cubic metre ,
B88,microcoulomb per square metre ,
B89,microfarad per metre ,
B9,batt ,
B90,microhenry ,
B91,microhenry per metre ,
B92,micronewton ,
B93,micronewton metre ,
B94,microohm ,
B95,microohm metre ,
B96,micropascal ,
B97,microradian ,
B98,microsecond ,
B99,microsiemens ,
BAR,bar [unit of pressure] ,
BB,base box ,"A unit of area of 112 sheets of tin mil products (tin plate, tin free steel or black plate) 14 by 20"
BD,board ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
BE,bundle ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
BFT,board foot ,A unit of volume defining the number of cords (cord: a stack of firewood of 128 cubic feet). 
BG,bag ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
BH,brush ,
BHP,brake horse power ,
BIL,billion (EUR) Synonym: trillion (US) ,
BJ,bucket ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
BK,basket ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
BL,bale ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
BLD,dry barrel (US) ,
BLL,barrel (US) ,
BO,bottle ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
BP,hundred board foot ,A unit of volume equal to one hundred board foot. 
BQL,becquerel ,
BR,bar [unit of packaging] ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
BT,bolt ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
BTU,British thermal unit (international table) ,
BUA,bushel (US) ,
BUI,bushel (UK) ,
BW,base weight ,
BX,box ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
BZ,million BTUs ,
C0,call ,A unit of count defining the number of calls (call: communication session or visitation). 
C1,composite product pound (total weight) ,
C10,millifarad ,
C11,milligal ,
C12,milligram per metre ,
C13,milligray ,
C14,millihenry ,
C15,millijoule ,
C16,millimetre per second ,
C17,millimetre squared per second ,
C18,millimole ,
C19,mole per kilogram ,
C2,carset ,
C20,millinewton ,
C21,kibibit ,A unit of information equal to 2¹? (1024) bits (binary digits). 
C22,millinewton per metre ,
C23,milliohm metre ,
C24,millipascal second ,
C25,milliradian ,
C26,millisecond ,
C27,millisiemens ,
C28,millisievert ,
C29,millitesla ,
C3,microvolt per metre ,
C30,millivolt per metre ,
C31,milliwatt ,
C32,milliwatt per square metre ,
C33,milliweber ,
C34,mole ,
C35,mole per cubic decimetre ,
C36,mole per cubic metre ,
C37,kilobit ,A unit of information equal to 10³ (1000) bits (binary digits). 
C38,mole per litre ,
C39,nanoampere ,
C4,carload ,
C40,nanocoulomb ,
C41,nanofarad ,
C42,nanofarad per metre ,
C43,nanohenry ,
C44,nanohenry per metre ,
C45,nanometre ,
C46,nanoohm metre ,
C47,nanosecond ,
C48,nanotesla ,
C49,nanowatt ,
C5,cost ,
C50,neper ,
C51,neper per second ,
C52,picometre ,
C53,newton metre second ,
C54,newton metre squared per kilogram squared ,
C55,newton per square metre ,
C56,newton per square millimetre ,
C57,newton second ,
C58,newton second per metre ,
C59,octave ,A unit used in music to describe the ratio in frequency between notes. 
C6,cell ,
C60,ohm centimetre ,
C61,ohm metre ,
C62,one Synonym: unit ,
C63,parsec ,
C64,pascal per kelvin ,
C65,pascal second ,
C66,pascal second per cubic metre ,
C67,pascal second per metre ,
C68,petajoule ,
C69,phon ,A unit of subjective sound loudness. A sound has loudness p phons if it seems to the listener to be 
C7,centipoise ,
C70,picoampere ,
C71,picocoulomb ,
C72,picofarad per metre ,
C73,picohenry ,
C74,kilobit per second ,A unit of information equal to 10³ (1000) bits (binary digits) per second. 
C75,picowatt ,
C76,picowatt per square metre ,
C77,pound gage ,
C78,pound-force ,
C79,kilovolt ampere hour ,A unit of accumulated energy of 1000 volt amperes over a period of one hour. 
C8,millicoulomb per kilogram ,
C80,rad ,
C81,radian ,
C82,radian square metre per mole ,
C83,radian square metre per kilogram ,
C84,radian per metre ,
C85,reciprocal angstrom ,
C86,reciprocal cubic metre ,
C87,reciprocal cubic metre per second ,Synonym: reciprocal second per cubic metre 
C88,reciprocal electron volt per cubic metre ,
C89,reciprocal henry ,
C9,coil group A,A unit of count defining the number of coil groups (coil group: groups of items arranged by lengths 
C90,reciprocal joule per cubic metre ,
C91,reciprocal kelvin or kelvin to the power minus one ,
C92,reciprocal metre ,
C93,reciprocal square metre Synonym: reciprocal metre squared ,
C94,reciprocal minute ,
C95,reciprocal mole ,
C96,reciprocal pascal or pascal to the power minus one ,
C97,reciprocal second ,
C98,reciprocal second per cubic metre ,
C99,reciprocal second per metre squared ,
CA,can ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
CCT,carrying capacity in metric ton ,"A unit of mass defining the carrying capacity, expressed as the number of metric tons. "
CDL,candela ,
CEL,degree Celsius ,Refer ISO 80000-5 (Quantities and units  Part 5: Thermodynamics) 
CEN,hundred ,A unit of count defining the number of units in multiples of 100. 
CG,card ,A unit of count defining the number of units of card (card: thick stiff paper or cardboard). 
CGM,centigram ,
CH,container ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
CJ,cone ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
CK,connector ,
CKG,coulomb per kilogram ,
CL,coil ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
CLF,hundred leave ,"A unit of count defining the number of leaves, expressed in units of one hundred leaves. "
CLT,centilitre ,
CMK,square centimetre ,
CMQ,cubic centimetre ,
CMT,centimetre ,
CNP,hundred pack ,A unit of count defining the number of hundred-packs (hundred-pack: set of one hundred items package
CNT,cental (UK) ,A unit of mass equal to one hundred weight (US). 
CO,carboy ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
COU,coulomb ,
CQ,cartridge ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
CR,crate ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
CS,case ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
CT,carton ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
CTG,content gram ,A unit of mass defining the number of grams of a named item in a product. 
CTM,metric carat ,
CTN,content ton (metric) ,A unit of mass defining the number of metric tons of a named item in a product. 
CU,cup ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
CUR,curie ,
CV,cover ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
CWA,hundred pound (cwt) / hundred weight (US) ,
CWI,hundred weight (UK) ,
CY,cylinder ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
CZ,combo ,
D03,kilowatt hour per hour ,A unit of accumulated energy of a thousand watts over a period of one hour. 
D04,lot [unit of weight] ,A unit of weight equal to about 1/2 ounce or 15 grams. 
D1,reciprocal second per steradian ,
D10,siemens per metre ,
D11,mebibit A,A unit of information equal to 2²? (1048576) bits (binary digits). 
D12,siemens square metre per mole ,
D13,sievert ,
D14,thousand linear yard ,
D15,sone ,A unit of subjective sound loudness. One sone is the loudness of a pure tone of frequency one kilohe
D16,square centimetre per erg ,
D17,square centimetre per steradian erg ,
D18,metre kelvin ,
D19,square metre kelvin per watt ,
D2,reciprocal second per steradian metre squared ,
D20,square metre per joule ,
D21,square metre per kilogram ,
D22,square metre per mole ,
D23,pen gram (protein) ,A unit of count defining the number of grams of amino acid prescribed for parenteral/enteral therapy
D24,square metre per steradian ,
D25,square metre per steradian joule ,
D26,square metre per volt second ,
D27,steradian ,
D28,syphon ,
D29,terahertz ,
D30,terajoule ,
D31,terawatt ,
D32,terawatt hour ,
D33,tesla ,
D34,tex ,A unit of yarn density. One decitex equals a mass of 1 gram per 1 kilometre of length. 
D35,calorie (thermochemical) ,
D36,megabit ,A unit of information equal to 10? (1000000) bits (binary digits). 
D37,calorie (thermochemical) per gram kelvin ,
D38,calorie (thermochemical) per second centimetre kelvin ,
D39,calorie (thermochemical) per second square centimetre kelvin ,
D40,thousand litre ,
D41,tonne per cubic metre ,
D42,tropical year ,
D43,unified atomic mass unit ,
D44,var The name of the unit is an acronym for volt-ampere-reactive. ,
D45,volt squared per kelvin squared ,
D46,volt - ampere ,
D47,volt per centimetre ,
D48,volt per kelvin ,
D49,millivolt per kelvin ,
D5,kilogram per square centimetre ,
D50,volt per metre ,
D51,volt per millimetre ,
D52,watt per kelvin ,
D53,watt per metre kelvin ,
D54,watt per square metre ,
D55,watt per square metre kelvin ,
D56,watt per square metre kelvin to the fourth power ,
D57,watt per steradian ,
D58,watt per steradian square metre ,
D59,weber per metre ,
D6,roentgen per second ,
D60,weber per millimetre ,
D61,minute [unit of angle] ,
D62,second [unit of angle] ,
D63,book ,A unit of count defining the number of books (book: set of items bound together or written document 
D64,block ,
D65,round ,A unit of count defining the number of rounds (round: A circular or cylindrical object). 
D66,cassette ,
D67,dollar per hour ,
D68,number of words ,A unit of count defining the number of words. 
D69,inch to the fourth power ,
D7,sandwich ,
D70,calorie (international table) ,
D71,calorie (international table) per second centimetre kelvin ,
D72,calorie (international table) per second square centimetre kelvin ,
D73,joule square metre ,
D74,kilogram per mole ,
D75,calorie (international table) per gram ,
D76,calorie (international table) per gram kelvin ,
D77,megacoulomb ,
D78,megajoule per second ,A unit of accumulated energy equal to one million joules per second. 
D79,beam ,
D8,draize score ,
D80,microwatt ,
D81,microtesla ,
D82,microvolt ,
D83,millinewton metre ,
D85,microwatt per square metre ,
D86,millicoulomb ,
D87,millimole per kilogram ,
D88,millicoulomb per cubic metre ,
D89,millicoulomb per square metre ,
D9,dyne per square centimetre ,
D90,cubic metre (net) ,
D91,rem ,
D92,band ,
D93,second per cubic metre ,
D94,second per cubic metre radian ,
D95,joule per gram ,
D96,pound gross ,
D97,pallet/unit load ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
D98,mass pound ,
D99,sleeve ,
DAA,decare ,
DAD,ten day ,A unit of time defining the number of days in multiples of 10. 
DAY,day ,
DB,dry pound ,"A unit of mass defining the number of pounds of a product, disregarding the water content of the pro"
DC,disk (disc) ,
DD,degree [unit of angle] ,
DE,deal ,
DEC,decade ,A unit of count defining the number of decades (decade: quantity equal to 10 or time equal to 10 yea
DG,decigram ,
DI,dispenser ,
DJ,decagram ,
DLT,decilitre ,
DMA,cubic decametre ,
DMK,square decimetre ,
DMO,standard kilolitre ,A unit of volume defining the number of kilolitres of a product at a temperature of 15 degrees Celsi
DMQ,cubic decimetre ,
DMT,decimetre ,
DN,decinewton metre ,
DPC,dozen piece ,"A unit of count defining the number of pieces in multiples of 12 (piece: a single item, article or e"
DPR,dozen pair ,A unit of count defining the number of pairs in multiples of 12 (pair: item described by two's). 
DPT,displacement tonnage ,"A unit of mass defining the volume of sea water a ship displaces, expressed as the number of tons. "
DQ,data record ,
DR,drum ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
DRA,dram (US) ,"Synonym: drachm (UK), troy dram "
DRI,dram (UK) ,Synonym: avoirdupois dram 
DRL,dozen roll ,"A unit of count defining the number of rolls, expressed in twelve roll units. "
DRM,drachm (UK) ,
DS,display ,
DT,dry ton ,"A unit of mass defining the number of tons of a product, disregarding the water content of the produ"
DTN,decitonne ,"Synonym: centner, metric 100 kg; quintal, metric 100 kg "
DU,dyne ,
DWT,pennyweight ,
DX,dyne per centimetre ,
DY,directory book ,
DZN,dozen ,A unit of count defining the number of units in multiples of 12. 
DZP,dozen pack ,A unit of count defining the number of packs in multiples of 12 (pack: standard packaging unit). 
E01,newton per square centimetre ,A measure of pressure expressed in newtons per square centimetre. 
E07,megawatt hour per hour ,A unit of accumulated energy of a million watts over a period of one hour. 
E08,megawatt per hertz ,A unit of energy expressed as the load change in million watts that will cause a frequency shift of 
E09,milliampere hour ,A unit of power load delivered at the rate of one thousandth of an ampere over a period of one hour.
E10,degree day ,A unit of measure used in meteorology and engineering to measure the demand for heating or cooling o
E11,gigacalorie ,A unit of heat energy equal to one thousand million calories. 
E12,mille ,A unit of count defining the number of cigarettes in units of 1000. 
E14,kilocalorie (international table) ,A unit of heat energy equal to one thousand calories. 
E15,kilocalorie (thermochemical) per hour ,A unit of energy equal to one thousand calories per hour. 
E16,million Btu(IT) per hour ,A unit of power equal to one million British thermal units per hour. 
E17,cubic foot per second ,A unit of volume equal to one cubic foot passing a given point in a period of one second. 
E18,tonne per hour ,A unit of weight or mass equal to one tonne per hour. 
E19,ping ,A unit of area equal to 3.3 square metres. 
E2,belt ,
E20,megabit per second ,A unit of information equal to 10? (1000000) bits (binary digits) per second. 
E21,shares ,A unit of count defining the number of shares (share: a total or portion of the parts into which a b
E22,TEU ,A unit of count defining the number of twenty-foot equivalent units (TEUs) as a measure of container
E23,tyre ,A unit of count defining the number of tyres (a solid or air-filled covering placed around a wheel r
E25,active unit ,A unit of count defining the number of active units within a substance. 
E27,dose ,A unit of count defining the number of doses (dose: a definite quantity of a medicine or drug). 
E28,air dry ton ,"A unit of mass defining the number of tons of a product, disregarding the water content of the produ"
E3,trailer ,
E30,strand ,"A unit of count defining the number of strands (strand: long, thin, flexible, single thread, strip o"
E31,square metre per litre ,A unit of count defining the number of square metres per litre. 
E32,litre per hour ,A unit of count defining the number of litres per hour. 
E33,foot per thousand ,A unit of count defining the number of feet per thousand units. 
E34,gigabyte ,A unit of information equal to 10? bytes. 
E35,terabyte ,A unit of information equal to 10¹² bytes. 
E36,petabyte ,A unit of information equal to 10¹? bytes. 
E37,pixel ,A unit of count defining the number of pixels (pixel: picture element). 
E38,megapixel ,A unit of count equal to 10? (1000000) pixels (picture elements). 
E39,dots per inch ,A unit of information defining the number of dots per linear inch as a measure of the resolution or 
E4,gross kilogram ,A unit of mass defining the total number of kilograms before deductions. 
E40,part per hundred thousand ,A unit of proportion equal to 10??. 
E41,kilogram-force per square millimetre ,A unit of pressure defining the number of kilograms force per square millimetre. 
E42,kilogram-force per square centimetre ,A unit of pressure defining the number of kilograms force per square centimetre. 
E43,joule per square centimetre ,A unit of energy defining the number of joules per square centimetre. 
E44,kilogram-force metre per square centimetre ,A unit of torsion defining the torque kilogram-force metre per square centimetre. 
E45,milliohm ,
E46,kilowatt hour per cubic metre ,A unit of energy consumption expressed as kilowatt hour per cubic metre. 
E47,kilowatt hour per kelvin ,A unit of energy consumption expressed as kilowatt hour per kelvin. 
E48,service unit ,A unit of count defining the number of service units (service unit: defined period / property / faci
E49,working day ,A unit of count defining the number of working days (working day: a day on which work is ordinarily 
